cut,color,clarity,city,carat,depth,table,x,y,z,price
4,1,6,4,0.79,62.8,60.0,5.8,5.89,3.67,4570
3,1,5,9,0.78,62.8,60.0,5.86,5.79,3.66,3494
3,3,3,12,0.76,62.8,60.0,5.81,5.79,3.64,2364
4,1,5,8,0.82,62.6,60.0,5.91,5.97,3.72,3641
4,5,5,3,0.81,62.6,59.7,5.86,5.92,3.69,2444
2,4,1,6,1.21,61.0,57.0,6.79,6.89,4.17,7789
2,4,3,10,1.2,61.0,57.0,6.84,6.9,4.19,5610
2,3,3,3,1.2,61.1,57.0,6.83,6.86,4.18,5722
2,3,6,12,1.21,61.0,57.0,6.87,6.93,4.21,10295
2,0,4,1,1.19,61.1,57.0,6.84,6.87,4.19,10079
4,3,3,10,1.53,62.1,61.0,7.28,7.3,4.53,8455
3,3,2,6,1.6,62.4,61.0,7.43,7.4,4.63,11189
3,2,2,10,1.51,62.3,61.0,7.29,7.22,4.52,10866
3,4,5,3,1.54,61.9,61.0,7.41,7.33,4.56,10758
3,6,4,10,1.5,62.0,61.0,7.37,7.24,4.53,7832
1,1,5,10,0.9,63.7,54.0,6.13,6.15,3.91,4770
1,6,2,12,0.93,63.7,54.0,6.15,6.09,3.9,2438
1,2,5,7,0.96,63.7,54.0,6.24,6.19,3.96,3871
4,1,2,5,0.83,63.8,54.0,5.96,6.04,3.83,3295
1,4,4,10,0.96,63.9,54.0,6.22,6.27,3.99,4535
4,3,4,8,0.51,62.9,58.0,5.05,5.1,3.19,1656
4,4,5,8,0.5,62.9,58.0,5.08,5.1,3.2,1337
2,3,1,9,0.51,62.9,58.0,5.07,5.11,3.2,2146
4,3,5,12,0.51,62.9,58.0,5.05,5.12,3.2,1438
3,3,4,7,0.51,62.9,58.0,5.1,5.05,3.19,1781
3,2,3,8,1.0,61.3,61.0,6.39,6.36,3.91,4452
4,2,5,7,1.01,61.3,61.0,6.34,6.38,3.9,6159
4,2,3,2,1.0,61.3,61.0,6.36,6.39,3.91,4372
3,0,5,8,1.0,61.2,61.0,6.39,6.35,3.9,6303
3,4,5,0,1.0,61.3,61.0,6.44,6.38,3.93,5096
3,4,2,10,1.06,61.0,58.0,6.61,6.57,4.02,5075
3,1,6,1,1.04,60.9,58.0,6.61,6.53,4.0,11382
3,4,2,10,1.04,61.0,58.0,6.54,6.6,4.01,4999
3,4,5,3,1.05,61.1,58.0,6.57,6.53,4.0,5323
3,4,5,10,1.02,61.0,58.0,6.56,6.49,3.98,5666
1,1,2,11,0.9,63.1,61.0,6.14,6.18,3.89,4165
1,1,3,5,0.91,63.1,61.0,6.04,6.14,3.84,3520
1,2,2,1,0.9,63.2,61.0,6.09,6.13,3.86,3950
4,1,2,9,0.9,63.1,61.0,6.18,6.14,3.89,4092
4,4,5,12,0.9,63.0,61.0,6.05,6.14,3.84,3878
2,1,2,8,1.13,62.2,55.0,6.69,6.66,4.15,6682
2,4,0,10,1.13,62.2,55.0,6.69,6.65,4.15,3745
2,1,2,0,1.13,62.2,55.0,6.66,6.69,4.15,6563
2,3,3,5,1.12,62.2,55.0,6.68,6.64,4.14,4955
2,2,0,8,1.13,62.2,55.0,6.68,6.63,4.14,3607
3,5,5,11,1.59,62.9,56.0,7.48,7.43,4.69,10471
2,2,2,3,1.62,62.7,56.0,7.5,7.44,4.68,12828
2,4,5,10,1.58,63.0,56.0,7.39,7.46,4.68,11419
2,3,4,4,1.62,62.7,56.0,7.44,7.51,4.69,15246
2,2,2,6,1.62,62.7,56.0,7.44,7.5,4.68,12712
3,2,3,11,1.08,60.2,59.0,6.6,6.65,3.99,4407
2,4,4,9,1.07,60.2,59.0,6.66,6.69,4.02,6479
3,2,3,4,1.08,60.2,59.0,6.65,6.6,3.99,4488
2,4,3,11,1.06,60.1,59.0,6.58,6.67,3.98,4516
2,4,3,2,1.06,60.1,59.0,6.65,6.63,3.99,4401
3,4,5,11,0.3,62.5,58.0,4.28,4.26,2.67,608
3,2,5,5,0.3,62.5,58.0,4.28,4.26,2.67,776
3,0,2,0,0.3,62.5,58.0,4.31,4.27,2.68,709
3,2,5,3,0.3,62.5,58.0,4.26,4.28,2.67,605
4,0,5,12,0.3,62.5,58.0,4.26,4.29,2.67,710
2,3,1,0,0.53,62.1,57.0,5.16,5.21,3.22,2372
2,3,7,10,0.52,62.1,57.0,5.13,5.17,3.2,1911
2,0,5,10,0.52,62.1,57.0,5.13,5.17,3.2,1774
2,0,5,8,0.52,62.1,57.0,5.13,5.17,3.2,1689
2,3,7,10,0.52,62.1,57.0,5.13,5.15,3.19,1835
3,0,7,9,0.52,59.8,60.0,5.28,5.22,3.14,2467
4,2,1,5,0.5,59.7,60.0,5.18,5.24,3.11,2219
3,2,3,6,0.54,59.6,60.0,5.28,5.25,3.14,1240
4,0,1,3,0.53,59.8,60.0,5.22,5.28,3.14,3827
3,5,4,8,0.52,59.6,60.0,5.17,5.14,3.07,1141
3,1,1,12,0.72,61.3,60.0,5.74,5.71,3.51,3951
4,0,5,12,0.7,61.2,60.0,5.73,5.77,3.52,3131
3,6,5,0,0.7,61.2,60.0,5.73,5.7,3.5,1940
4,1,7,6,0.72,61.3,60.0,5.73,5.76,3.52,3495
4,1,5,11,0.71,61.3,60.0,5.74,5.71,3.51,2930
4,1,7,6,0.42,62.1,56.0,4.79,4.82,2.98,1167
2,3,5,6,0.42,62.1,56.0,4.79,4.84,2.99,847
2,1,5,7,0.42,62.1,56.0,4.77,4.8,2.97,958
2,2,3,4,0.42,62.1,56.0,4.8,4.83,2.99,663
2,5,5,1,0.42,62.1,56.0,4.78,4.85,2.99,1081
2,1,2,12,0.5,61.6,55.0,5.09,5.13,3.15,1410
2,3,7,9,0.51,61.6,55.0,5.13,5.16,3.17,2197
2,0,2,9,0.5,61.6,55.0,5.13,5.1,3.15,1654
2,1,5,8,0.5,61.6,55.0,5.14,5.09,3.15,1746
2,2,4,6,0.51,61.6,55.0,5.14,5.18,3.18,1870
4,0,4,10,0.9,62.2,58.0,6.14,6.18,3.83,6208
4,5,4,10,0.9,62.2,58.0,6.13,6.18,3.83,3644
2,4,4,7,0.9,62.2,58.0,6.14,6.17,3.83,4428
3,2,5,6,0.91,62.2,58.0,6.17,6.21,3.85,4979
4,4,5,0,0.9,62.2,58.0,6.11,6.18,3.82,4157
4,5,4,4,1.01,59.7,58.0,6.53,6.57,3.91,4858
4,0,3,7,1.01,59.7,58.0,6.55,6.61,3.93,4564
3,4,5,8,1.0,59.7,58.0,6.57,6.52,3.91,4861
3,3,2,12,1.01,59.8,58.0,6.54,6.58,3.92,4719
2,4,3,5,1.02,59.8,58.0,6.55,6.59,3.93,4742
2,2,4,10,0.31,61.6,56.0,4.33,4.36,2.68,695
4,2,7,1,0.31,61.6,56.0,4.34,4.38,2.68,711
4,2,6,4,0.3,61.6,56.0,4.34,4.36,2.68,694
2,3,1,4,0.3,61.6,56.0,4.34,4.36,2.68,863
2,0,7,9,0.31,61.6,56.0,4.34,4.38,2.69,766
2,5,7,3,0.7,62.7,54.0,5.65,5.69,3.55,2487
2,2,6,4,0.7,62.7,54.0,5.66,5.7,3.56,4021
2,3,5,8,0.7,62.7,54.0,5.66,5.7,3.56,2723
4,0,6,7,0.7,62.7,54.0,5.67,5.71,3.57,4244
2,5,5,9,0.7,62.5,54.0,5.68,5.71,3.56,2390
2,3,5,3,1.23,61.5,54.0,6.92,6.89,4.25,8133
2,5,4,10,1.23,61.6,54.0,6.9,6.94,4.26,7181
2,2,4,1,1.24,61.5,54.0,6.93,6.89,4.25,10138
4,4,3,2,1.25,61.6,54.0,6.85,6.95,4.25,5637
2,3,3,5,1.16,61.5,54.0,6.78,6.75,4.16,5301
0,1,3,0,1.0,65.8,58.0,6.28,6.16,4.09,2948
0,5,5,10,1.0,65.7,58.0,6.25,6.2,4.09,3265
0,2,2,4,1.01,65.9,58.0,6.16,6.1,4.04,4276
0,5,3,10,1.0,65.8,58.0,6.23,6.27,4.11,3348
1,2,3,2,1.01,65.7,58.0,6.12,6.2,4.05,4049
2,4,7,10,0.3,61.5,57.0,4.31,4.34,2.66,605
2,3,4,1,0.3,61.5,57.0,4.31,4.34,2.66,605
2,3,7,3,0.31,61.5,57.0,4.32,4.36,2.67,671
2,6,1,9,0.3,61.5,57.0,4.29,4.36,2.66,489
2,1,6,9,0.3,61.5,57.0,4.35,4.33,2.67,956
4,3,3,12,2.03,62.7,55.0,8.07,8.14,5.08,17752
2,5,2,2,2.03,62.9,55.0,8.11,8.04,5.08,11472
2,5,2,3,2.01,62.9,55.0,8.07,8.0,5.05,12606
2,5,2,3,2.03,62.6,55.0,8.06,8.11,5.06,14548
2,6,2,10,2.03,62.6,55.0,8.06,8.1,5.06,13357
2,2,4,2,0.5,61.4,58.0,5.07,5.12,3.13,1601
4,1,3,9,0.5,61.4,58.0,5.09,5.11,3.13,1154
4,2,4,1,0.5,61.4,58.0,5.05,5.14,3.13,1849
3,1,3,10,0.5,61.4,58.0,5.11,5.09,3.13,1240
3,2,5,1,0.51,61.4,58.0,5.13,5.09,3.14,1619
2,3,4,5,0.36,62.3,57.0,4.57,4.55,2.84,869
2,0,3,0,0.36,62.3,57.0,4.57,4.52,2.83,689
2,4,7,1,0.36,62.3,57.0,4.57,4.52,2.83,932
2,3,4,4,0.36,62.3,57.0,4.55,4.57,2.84,678
2,4,2,3,0.35,62.3,57.0,4.55,4.5,2.82,630
2,1,5,0,0.42,62.0,55.0,4.82,4.8,2.98,1024
2,2,6,4,0.42,62.0,55.0,4.84,4.81,2.99,1389
2,0,7,10,0.42,62.0,55.0,4.84,4.81,2.99,1210
2,2,4,9,0.41,62.0,55.0,4.81,4.77,2.97,1076
2,3,1,1,0.41,62.0,55.0,4.8,4.81,2.98,1425
3,4,2,7,0.51,60.0,61.0,5.2,5.17,3.11,1163
3,1,2,10,0.52,59.8,61.0,5.2,5.17,3.1,1577
4,1,4,10,0.52,59.8,61.0,5.19,5.22,3.11,1840
3,1,5,6,0.5,60.1,61.0,5.2,5.15,3.11,1420
3,4,2,1,0.5,60.2,61.0,5.16,5.14,3.1,1141
2,3,4,3,0.39,62.0,55.0,4.71,4.66,2.9,1077
2,4,7,1,0.39,62.0,55.0,4.68,4.7,2.91,794
4,1,2,12,0.4,62.0,55.0,4.68,4.74,2.92,737
3,6,4,4,0.41,62.0,55.0,4.77,4.74,2.95,830
2,3,2,11,0.4,62.0,55.0,4.72,4.76,2.94,692
1,0,5,3,1.51,59.8,65.0,7.36,7.43,4.42,12709
1,0,3,1,1.5,60.2,65.0,7.37,7.34,4.43,9173
1,5,3,1,1.74,60.1,64.0,7.82,7.71,4.67,8731
1,6,2,2,1.5,59.1,64.0,7.32,7.43,4.36,6687
4,5,4,7,1.42,60.1,65.0,7.28,7.2,4.35,6894
3,1,5,5,0.3,62.4,59.0,4.3,4.26,2.67,844
3,3,6,1,0.3,62.4,59.0,4.31,4.25,2.67,905
4,0,3,6,0.3,62.4,59.0,4.25,4.28,2.66,447
4,3,6,1,0.3,62.4,59.0,4.25,4.31,2.67,705
3,3,7,2,0.3,62.3,59.0,4.29,4.25,2.66,878
4,4,5,10,1.01,63.3,58.0,6.33,6.27,3.99,4692
4,1,2,11,1.0,63.4,58.0,6.29,6.26,3.98,4805
4,5,2,3,1.0,63.3,58.0,6.34,6.3,4.0,4200
