cut,color,clarity,city,carat,depth,table,x,y,z,price
4,2,2,0,0.9,62.6,60.0,6.1,6.14,3.83,3950
4,2,2,1,0.81,63.1,59.0,5.85,5.79,3.67,2809
4,3,2,0,0.81,62.5,60.0,5.89,5.94,3.69,2806
4,2,2,1,0.9,62.5,59.0,6.06,6.13,3.81,3954
4,3,2,1,0.72,62.5,60.0,5.69,5.73,3.57,2488
2,6,4,10,1.14,61.5,57.0,6.7,6.73,4.13,5392
2,6,4,10,1.33,61.3,57.0,7.11,7.08,4.35,6118
2,6,4,10,1.11,61.7,57.0,6.67,6.72,4.13,4854
2,5,4,9,1.23,61.1,57.0,6.88,6.9,4.21,7881
2,6,4,9,1.21,61.8,56.2,6.78,6.86,4.2,5604
3,4,2,3,1.52,62.0,60.0,7.36,7.28,4.54,7559
3,4,2,4,1.53,62.0,60.0,7.31,7.27,4.55,7608
3,4,2,2,1.7,61.8,61.0,7.59,7.52,4.67,11848
3,4,2,3,1.72,62.4,62.0,7.63,7.52,4.73,12696
3,3,2,3,1.7,62.5,61.0,7.54,7.47,4.69,13737
4,2,2,3,0.9,63.3,55.0,6.05,6.08,3.84,4004
4,2,2,2,0.9,63.3,55.0,6.18,6.12,3.89,4545
4,2,3,3,0.91,63.3,54.0,6.22,6.14,3.91,3746
4,1,2,5,0.83,63.8,54.0,5.96,6.04,3.83,3295
4,3,2,5,0.9,63.4,54.0,6.11,6.16,3.89,3615
4,2,4,1,0.51,63.3,57.0,5.06,5.09,3.21,1627
4,2,5,0,0.51,63.1,58.0,5.11,5.09,3.22,1574
4,2,4,0,0.4,62.9,58.0,4.67,4.71,2.95,982
4,2,3,1,0.46,62.6,58.0,4.88,4.96,3.08,815
4,2,4,2,0.51,63.3,59.0,5.09,5.12,3.23,1722
3,2,6,10,1.0,61.0,60.0,6.43,6.39,3.91,9901
3,3,5,7,1.01,61.6,61.0,6.46,6.36,3.95,5864
3,1,5,10,0.92,61.2,62.0,6.27,6.22,3.82,4600
3,3,5,9,0.9,61.5,60.0,6.16,6.13,3.78,4309
3,2,4,10,1.1,60.9,61.0,6.7,6.64,4.06,7762
3,4,2,10,1.06,61.0,58.0,6.61,6.57,4.02,5075
3,4,2,10,1.04,61.0,58.0,6.54,6.6,4.01,4999
3,4,2,11,1.14,60.7,58.0,6.76,6.82,4.12,5003
3,4,2,10,1.16,61.2,58.0,6.81,6.76,4.15,5554
3,4,2,10,1.03,61.1,59.0,6.56,6.5,3.99,4603
1,1,2,11,0.9,63.1,61.0,6.14,6.18,3.89,4165
1,0,2,10,1.01,63.9,61.0,6.31,6.28,4.02,5147
1,0,2,8,0.9,63.2,62.0,6.06,6.13,3.85,4068
1,0,2,10,1.01,63.9,62.0,6.31,6.25,4.01,5147
1,1,2,10,1.0,63.7,60.0,6.24,6.29,3.99,5082
2,5,5,4,1.24,62.0,55.0,6.9,6.87,4.27,6076
2,5,5,3,1.0,62.5,55.0,6.41,6.36,4.0,4511
2,5,5,1,1.1,61.8,55.4,6.62,6.65,4.1,5273
2,4,5,3,1.12,61.8,55.0,6.64,6.7,4.12,6110
2,5,5,3,1.14,62.9,56.0,6.71,6.67,4.21,5075
2,2,5,10,1.51,62.4,56.0,7.38,7.31,4.58,14247
2,2,5,9,1.7,62.4,57.0,7.65,7.57,4.75,17360
2,3,5,9,1.5,62.6,56.0,7.3,7.26,4.56,12468
2,3,5,8,1.5,63.0,56.0,7.32,7.26,4.59,12821
2,2,5,10,1.69,62.2,57.0,7.59,7.66,4.74,16789
4,5,2,1,1.06,60.4,59.0,6.56,6.61,3.98,4267
4,5,2,1,1.02,60.4,58.0,6.52,6.56,3.95,3927
4,4,2,1,1.02,60.3,59.0,6.44,6.5,3.9,4476
4,4,2,1,1.18,60.1,59.0,6.83,6.88,4.11,5508
4,4,2,1,1.05,60.5,58.0,6.55,6.6,3.98,5406
3,0,5,3,0.34,62.1,58.0,4.5,4.45,2.78,1033
3,0,5,3,0.31,62.6,59.0,4.33,4.3,2.7,942
3,0,5,3,0.3,61.7,58.0,4.32,4.3,2.66,911
3,0,5,2,0.3,61.7,58.0,4.3,4.32,2.66,710
