cut,color,clarity,city,carat,depth,table,x,y,z,price
4,1,3,1,1.01,63.1,61.0,6.34,6.27,3.98,4118
2,6,4,9,1.21,61.8,56.2,6.78,6.86,4.2,5604
3,4,2,2,1.7,61.8,61.0,7.59,7.52,4.67,11848
4,3,3,1,0.9,63.1,55.0,6.16,6.13,3.88,3452
4,0,4,4,0.62,63.4,55.0,5.46,5.43,3.45,2310
3,2,5,12,1.16,60.5,59.0,6.86,6.8,4.13,5781
3,4,2,10,1.06,61.0,58.0,6.61,6.57,4.02,5075
1,0,2,10,1.01,63.9,61.0,6.31,6.28,4.02,5147
2,5,5,10,1.16,60.8,56.0,6.85,6.81,4.15,5587
2,3,5,11,1.59,61.8,56.0,7.51,7.44,4.62,9794
4,3,7,3,1.23,62.2,57.0,6.8,6.87,4.25,9999
3,0,5,3,0.31,61.7,59.0,4.31,4.34,2.67,734
2,0,5,2,0.53,60.6,57.0,5.24,5.28,3.19,1857
3,1,2,9,0.47,60.2,61.0,5.05,4.96,3.02,1087
3,2,2,1,0.7,61.2,59.0,5.7,5.64,3.47,2239
2,0,4,3,0.41,62.4,56.0,4.75,4.8,2.98,1105
2,3,4,10,0.57,62.0,55.0,5.29,5.35,3.3,1851
4,3,3,10,0.9,62.1,58.0,6.08,6.13,3.79,3303
4,2,7,10,1.18,60.1,58.0,6.88,6.92,4.15,11430
2,2,6,8,0.32,61.5,56.0,4.44,4.45,2.73,947
2,5,1,4,0.74,62.1,53.9,5.79,5.81,3.6,2952
2,6,5,2,1.2,61.8,55.0,6.84,6.86,4.23,5318
0,2,2,4,1.01,65.9,58.0,6.16,6.1,4.04,4276
4,2,7,8,0.32,62.5,55.0,4.39,4.42,2.75,778
4,3,2,0,2.0,63.0,55.0,7.96,8.1,5.06,17724
4,6,5,3,0.42,60.9,58.0,4.81,4.85,2.94,723
2,4,2,5,0.39,61.8,55.0,4.68,4.71,2.9,874
2,3,4,9,0.33,61.4,54.0,4.48,4.44,2.74,854
4,1,2,3,0.31,61.2,58.0,4.34,4.38,2.67,507
3,1,2,4,0.42,62.5,55.0,4.83,4.8,3.01,992
1,5,4,10,2.0,58.8,65.0,8.03,8.1,4.74,15708
3,0,3,10,0.3,62.4,58.0,4.28,4.31,2.68,447
4,2,3,5,0.9,62.7,59.0,6.1,6.18,3.85,3569
3,0,2,2,0.3,62.7,60.0,4.26,4.23,2.66,709
4,1,7,3,0.39,62.2,55.0,4.66,4.7,2.91,962
4,2,2,10,0.76,62.9,57.0,5.79,5.81,3.65,2770
0,4,3,9,1.52,64.9,58.0,7.23,7.19,4.68,7388
1,4,2,0,0.91,63.9,60.0,6.08,6.13,3.9,3485
3,0,2,8,0.72,60.4,59.0,5.77,5.72,3.47,2691
3,2,5,3,0.31,61.4,58.0,4.4,4.36,2.69,802
4,1,7,3,0.26,63.1,59.0,4.08,4.04,2.56,769
2,3,4,3,1.34,62.7,57.0,7.04,7.1,4.43,9890
4,2,7,6,0.25,62.0,59.0,3.99,4.04,2.49,576
1,1,4,10,0.5,60.3,62.0,5.1,5.11,3.08,1690
2,2,5,11,1.08,61.0,57.0,6.61,6.68,4.06,7781
1,0,2,11,0.9,62.4,63.0,6.04,6.13,3.8,3880
2,0,5,2,0.32,61.1,56.0,4.39,4.41,2.69,758
2,0,5,3,0.3,61.8,55.0,4.3,4.34,2.67,710
1,3,2,9,0.51,63.6,55.0,5.06,5.03,3.21,1312
4,5,4,7,0.75,63.3,57.0,5.82,5.74,3.66,2385
2,2,2,7,0.35,61.1,56.0,4.56,4.58,2.79,707
3,4,2,12,0.93,61.8,59.0,6.23,6.27,3.86,3816
4,0,2,12,0.6,60.3,58.0,5.44,5.51,3.3,1777
2,2,2,3,1.09,61.4,56.0,6.63,6.66,4.08,6872
3,2,2,9,1.09,60.9,59.0,6.64,6.59,4.03,5384
2,4,6,1,0.56,62.3,55.0,5.3,5.26,3.29,1882
3,5,7,10,1.7,61.7,57.4,7.62,7.67,4.71,13127
2,0,7,4,0.55,61.1,57.0,5.32,5.29,3.24,2644
1,2,3,5,1.0,63.4,60.0,6.28,6.33,4.0,3801
2,1,7,10,0.65,62.1,57.0,5.55,5.6,3.46,3023
2,2,3,8,0.54,61.0,56.0,5.24,5.29,3.21,1173
4,1,7,12,0.25,61.7,57.0,4.08,4.12,2.53,548
3,2,2,8,1.01,59.7,61.0,6.55,6.49,3.89,4989
2,0,2,9,0.4,60.6,57.0,4.75,4.82,2.9,690
3,2,3,0,1.6,61.8,57.0,7.51,7.46,4.63,6899
4,6,5,1,2.01,61.1,59.0,8.04,8.07,4.92,13109
3,2,5,10,0.35,61.4,59.0,4.53,4.56,2.79,706
2,5,3,9,2.08,62.0,56.0,8.21,8.1,5.06,11886
4,4,2,10,1.06,59.1,58.0,6.66,6.71,3.95,5048
2,3,1,11,1.07,61.5,57.0,6.54,6.59,4.04,9361
4,3,1,9,0.4,62.3,59.0,4.67,4.7,2.92,1173
3,3,4,7,0.41,62.1,60.0,4.78,4.72,2.95,961
3,2,3,5,0.41,59.0,58.0,4.87,4.89,2.88,604
2,5,7,1,0.44,61.1,57.0,4.91,4.95,3.01,957
2,2,3,3,1.0,62.3,56.0,6.34,6.27,3.93,3696
2,3,7,6,0.52,62.3,55.0,5.16,5.12,3.2,2012
4,2,5,8,1.0,61.1,60.0,6.4,6.46,3.93,7343
4,0,5,11,1.51,63.2,57.0,7.27,7.25,4.59,12311
2,1,2,1,0.72,60.5,55.0,5.8,5.86,3.53,3409
4,3,3,0,1.01,63.2,58.0,6.42,6.35,4.04,3275
3,6,4,8,1.76,62.0,58.0,7.74,7.7,4.79,11177
2,2,4,10,0.57,61.0,56.0,5.36,5.4,3.28,2193
2,4,5,5,1.51,62.5,56.0,7.37,7.33,4.57,11133
3,2,5,12,1.0,61.9,59.0,6.38,6.34,3.94,5606
2,2,7,12,0.33,61.4,56.0,4.44,4.49,2.74,810
1,4,5,7,1.7,63.3,57.0,7.54,7.59,4.79,12117
2,1,6,5,0.37,61.5,56.0,4.64,4.59,2.84,1179
3,5,3,5,1.71,60.6,57.0,7.78,7.71,4.69,9760
3,3,3,1,1.35,58.4,59.0,7.32,7.28,4.26,6400
4,0,2,2,1.77,59.2,61.0,7.86,7.98,4.69,14561
2,1,4,10,0.9,61.3,57.0,6.2,6.24,3.81,5335
2,2,1,1,0.36,61.7,55.0,4.58,4.62,2.84,1210
2,3,1,1,0.3,62.1,55.0,4.32,4.35,2.69,863
2,2,7,7,0.3,61.6,55.0,4.3,4.33,2.66,751
0,4,0,5,4.13,64.8,61.0,10.0,9.85,6.43,17329
0,2,7,7,0.31,56.9,59.0,4.45,4.48,2.54,757
3,6,2,10,1.71,61.9,58.0,7.62,7.56,4.7,7757
2,5,3,12,2.1,63.0,56.0,8.18,8.15,5.12,10457
4,4,3,12,1.7,63.5,58.0,7.5,7.43,4.74,7235
4,3,4,4,0.3,63.5,58.0,4.26,4.21,2.69,725
1,3,4,5,0.61,60.2,61.0,5.47,5.52,3.3,1785
2,3,4,2,0.31,61.9,55.0,4.36,4.37,2.7,583
3,4,5,1,0.31,62.4,59.0,4.34,4.31,2.7,628
2,4,5,11,0.34,61.7,57.0,4.46,4.48,2.76,537
2,5,1,3,0.53,62.1,55.0,5.18,5.22,3.23,1654
3,1,5,1,0.5,61.8,58.0,5.09,5.07,3.14,1746
2,0,5,2,0.56,60.6,56.0,5.37,5.33,3.24,2066
2,4,7,12,0.29,61.6,55.0,4.27,4.29,2.64,607
3,1,2,9,0.47,60.2,61.0,5.05,4.96,3.02,1087
2,2,5,1,0.38,61.9,55.0,4.69,4.63,2.89,969
1,2,4,2,0.45,59.0,62.0,5.02,5.04,2.97,1012
3,2,4,12,0.5,61.8,60.0,5.06,5.1,3.14,1710
1,2,4,3,1.04,63.2,57.0,6.41,6.44,4.06,7399
2,1,5,9,0.51,60.4,57.0,5.15,5.18,3.12,1656
0,1,5,9,0.51,65.5,51.0,5.06,5.01,3.3,1709
2,4,2,8,1.01,61.0,56.0,6.48,6.43,3.94,5062
3,1,5,6,0.9,62.6,59.0,6.14,6.06,3.82,4687
2,5,3,4,2.14,61.9,56.0,8.26,8.22,5.1,14452
4,2,6,4,0.23,61.4,58.0,3.93,3.95,2.42,530
2,2,3,3,2.03,63.3,55.0,7.96,8.05,5.08,18458
0,4,5,6,0.5,65.1,59.0,5.02,5.06,3.28,1175
3,2,5,11,0.62,61.4,59.0,5.5,5.47,3.37,2065
1,1,5,1,0.56,61.4,62.0,5.34,5.28,3.26,1736
3,1,4,3,0.26,60.1,60.0,4.15,4.1,2.48,580
3,2,2,8,0.37,61.5,59.0,4.59,4.62,2.83,616
3,5,6,5,0.7,62.9,58.0,5.67,5.65,3.56,2536
4,2,6,7,0.73,60.6,56.0,5.79,5.83,3.52,3720
2,3,5,1,0.9,62.7,56.0,6.25,6.15,3.89,4133
2,1,2,10,1.01,61.8,56.0,6.46,6.51,4.01,5132
2,6,5,1,1.22,62.1,58.0,6.82,6.84,4.24,5297
2,0,3,10,1.11,61.6,55.0,6.66,6.62,4.09,5648
1,1,2,7,0.9,58.3,61.0,6.24,6.29,3.65,4165
3,2,5,10,1.23,62.9,58.0,6.82,6.76,4.27,8486
2,3,1,7,0.33,61.5,56.0,4.46,4.48,2.75,992
1,4,3,10,1.01,65.7,60.0,6.17,6.19,4.06,3926
2,1,5,3,0.44,61.5,56.0,4.9,4.92,3.02,1003
4,3,6,11,0.3,60.7,57.0,4.35,4.37,2.65,691
3,2,7,10,0.91,63.0,56.0,6.17,6.12,3.87,5708
2,4,4,8,0.33,61.7,54.0,4.45,4.47,2.75,579
2,4,3,1,1.1,62.0,55.0,6.6,6.62,4.1,4537
2,5,1,4,0.33,61.6,55.0,4.46,4.47,2.75,694
2,5,7,5,0.4,62.2,55.0,4.72,4.76,2.95,939
2,1,2,4,0.9,60.1,56.0,6.3,6.35,3.8,4034
2,6,2,12,1.01,62.8,57.0,6.4,6.44,4.03,3926
3,3,5,2,0.41,60.9,58.0,4.8,4.83,2.93,827
3,4,5,1,1.21,60.8,58.0,6.91,6.88,4.19,6710
2,5,5,5,2.08,62.0,56.0,8.16,8.18,5.06,17916
3,1,7,3,1.01,62.4,58.0,6.42,6.36,3.99,9711
4,0,2,3,0.73,62.2,57.0,5.74,5.78,3.58,2197
4,6,5,7,0.74,62.3,55.0,5.79,5.83,3.62,1978
2,5,2,10,0.93,62.5,55.0,6.23,6.29,3.91,3856
3,1,5,10,0.46,61.3,57.0,5.02,4.99,3.07,1156
3,3,2,8,1.54,60.5,61.0,7.47,7.44,4.51,11574
4,2,4,9,0.91,63.5,56.0,6.18,6.14,3.91,4739
3,6,5,1,0.39,61.3,60.0,4.65,4.68,2.86,581
4,3,3,11,2.52,63.2,58.0,8.65,8.61,5.45,17689
1,4,1,10,1.05,64.3,58.0,6.5,6.35,4.13,6703
2,1,7,10,0.65,62.1,57.0,5.55,5.6,3.46,3023
3,3,5,5,1.07,62.9,59.0,6.52,6.49,4.09,6644
2,0,5,8,0.41,62.8,55.0,4.73,4.7,2.96,1076
3,6,4,7,1.55,62.6,59.0,7.4,7.35,4.62,8749
2,2,5,1,1.06,62.1,55.0,6.52,6.55,4.06,7334
