cut,color,clarity,city,carat,depth,table,x,y,z,price
4,2,2,0,0.9,62.6,60.0,6.1,6.14,3.83,3950
4,2,2,1,0.81,63.1,59.0,5.85,5.79,3.67,2809
4,3,2,0,0.81,62.5,60.0,5.89,5.94,3.69,2806
2,6,4,10,1.14,61.5,57.0,6.7,6.73,4.13,5392
2,6,4,10,1.33,61.3,57.0,7.11,7.08,4.35,6118
2,6,4,10,1.11,61.7,57.0,6.67,6.72,4.13,4854
3,4,2,3,1.52,62.0,60.0,7.36,7.28,4.54,7559
3,4,2,4,1.53,62.0,60.0,7.31,7.27,4.55,7608
3,4,2,2,1.7,61.8,61.0,7.59,7.52,4.67,11848
4,2,2,3,0.9,63.3,55.0,6.05,6.08,3.84,4004
4,2,2,2,0.9,63.3,55.0,6.18,6.12,3.89,4545
4,2,3,3,0.91,63.3,54.0,6.22,6.14,3.91,3746
4,2,4,1,0.51,63.3,57.0,5.06,5.09,3.21,1627
4,2,5,0,0.51,63.1,58.0,5.11,5.09,3.22,1574
4,2,4,0,0.4,62.9,58.0,4.67,4.71,2.95,982
3,2,6,10,1.0,61.0,60.0,6.43,6.39,3.91,9901
3,3,5,7,1.01,61.6,61.0,6.46,6.36,3.95,5864
3,1,5,10,0.92,61.2,62.0,6.27,6.22,3.82,4600
3,4,2,10,1.06,61.0,58.0,6.61,6.57,4.02,5075
3,4,2,10,1.04,61.0,58.0,6.54,6.6,4.01,4999
3,4,2,11,1.14,60.7,58.0,6.76,6.82,4.12,5003
1,1,2,11,0.9,63.1,61.0,6.14,6.18,3.89,4165
1,0,2,10,1.01,63.9,61.0,6.31,6.28,4.02,5147
1,0,2,8,0.9,63.2,62.0,6.06,6.13,3.85,4068
2,5,5,4,1.24,62.0,55.0,6.9,6.87,4.27,6076
2,5,5,3,1.0,62.5,55.0,6.41,6.36,4.0,4511
2,5,5,1,1.1,61.8,55.4,6.62,6.65,4.1,5273
2,2,5,10,1.51,62.4,56.0,7.38,7.31,4.58,14247
2,2,5,9,1.7,62.4,57.0,7.65,7.57,4.75,17360
2,3,5,9,1.5,62.6,56.0,7.3,7.26,4.56,12468
4,5,2,1,1.06,60.4,59.0,6.56,6.61,3.98,4267
4,5,2,1,1.02,60.4,58.0,6.52,6.56,3.95,3927
4,4,2,1,1.02,60.3,59.0,6.44,6.5,3.9,4476
3,0,5,3,0.34,62.1,58.0,4.5,4.45,2.78,1033
3,0,5,3,0.31,62.6,59.0,4.33,4.3,2.7,942
3,0,5,3,0.3,61.7,58.0,4.32,4.3,2.66,911
2,0,5,3,0.51,61.9,57.0,5.13,5.11,3.17,1882
2,0,5,3,0.52,61.8,57.0,5.16,5.2,3.2,1752
2,0,6,3,0.61,62.1,56.0,5.46,5.43,3.38,4279
3,0,2,5,0.51,60.1,60.0,5.17,5.15,3.1,1687
3,1,2,8,0.53,60.0,60.0,5.27,5.24,3.21,1607
3,0,3,7,0.53,59.3,61.0,5.29,5.26,3.13,1318
3,2,2,1,0.7,61.2,59.0,5.7,5.64,3.47,2239
3,2,2,1,0.74,61.4,59.0,5.81,5.82,3.57,2648
3,2,2,1,0.62,61.3,60.0,5.48,5.45,3.35,1633
2,0,4,2,0.41,62.3,56.0,4.71,4.79,2.96,1018
2,0,4,1,0.41,62.1,56.0,4.77,4.8,2.97,1151
2,0,4,3,0.41,62.1,56.0,4.8,4.77,2.97,1230
2,3,5,9,0.54,61.5,55.0,5.24,5.27,3.23,1422
2,3,5,9,0.51,61.3,55.0,5.16,5.19,3.17,1557
2,3,5,9,0.56,61.9,55.0,5.32,5.28,3.28,1698
4,3,2,11,0.93,62.3,58.0,6.2,6.29,3.9,4144
4,3,2,11,1.01,62.4,58.0,6.39,6.44,4.0,4653
4,3,3,10,0.9,62.1,58.0,6.08,6.13,3.79,3303
4,4,2,10,1.05,59.5,58.0,6.61,6.69,3.96,4608
4,4,2,9,1.01,60.0,58.0,6.54,6.6,3.94,4876
4,3,3,11,0.97,59.8,58.0,6.38,6.42,3.83,3960
2,2,6,8,0.31,61.8,56.0,4.36,4.34,2.69,959
2,2,6,8,0.32,61.5,56.0,4.44,4.45,2.73,947
